dummy.year,sri.numerator,sri.denominator
25,2,26
25,5,19
25,0,24
25,0,30
25,0,28
25,2,26
25,1,30
25,0,26
25,0,28
25,2,22
25,2,24
25,1,25
25,1,19
25,2,25
25,2,21
25,1,23
25,0,23
25,0,14
25,0,14
25,0,14
25,0,14
25,0,14
25,0,14
25,0,14
25,0,13
25,0,14
25,0,14
25,0,15
25,0,11
25,0,11
25,0,13
25,0,13
25,0,13
25,0,13
25,0,12
25,0,13
25,0,15
25,0,13
25,0,14
25,0,15
25,0,12
25,0,13
25,0,13
25,0,13
25,0,15
25,0,12
25,0,14
25,0,13
25,0,13
25,0,14
25,0,15
25,0,13
25,0,15
25,0,13
25,0,14
25,0,15
25,0,12
25,0,13
25,0,14
25,0,12
25,0,11
25,0,14
25,0,12
25,0,18
25,0,14
25,0,17
25,0,18
25,0,18
25,0,17
25,0,17
25,0,19
25,0,16
25,0,17
25,0,18
25,0,17
25,0,17
25,0,15
25,0,16
25,0,15
25,0,11
25,0,10
25,1,28
25,0,24
25,3,26
25,1,27
25,4,24
25,7,20
25,0,27
25,0,29
25,1,25
25,2,26
25,5,19
25,1,21
25,1,28
25,1,25
25,3,20
25,1,23
25,0,15
25,0,15
25,0,15
25,0,15
25,0,15
25,0,15
25,0,15
25,0,14
25,0,15
25,0,15
25,0,16
25,0,12
25,0,12
25,0,14
25,0,14
25,0,14
25,0,14
25,0,13
25,0,14
25,0,16
25,0,14
25,0,15
25,0,16
25,0,13
25,0,14
25,0,14
25,0,14
25,0,16
25,0,13
25,0,15
25,0,14
25,0,14
25,0,15
25,0,16
25,0,14
25,0,16
25,0,14
25,0,16
25,0,16
25,0,13
25,0,14
25,0,15
25,0,13
25,0,12
25,0,15
25,0,13
25,0,19
25,0,16
25,0,18
25,0,19
25,0,20
25,0,19
25,0,19
25,0,21
25,0,17
25,0,19
25,0,20
25,0,19
25,0,19
25,0,17
25,0,17
25,0,16
25,0,12
25,0,11
25,6,13
25,0,32
25,1,28
25,1,30
25,1,30
25,0,27
25,1,27
25,4,19
25,2,26
25,2,24
25,2,19
25,0,29
25,0,26
25,1,23
25,1,22
25,0,15
25,0,15
25,0,15
25,0,15
25,0,15
25,0,16
25,0,15
25,0,14
25,0,16
25,0,15
25,0,16
25,0,13
25,0,13
25,0,15
25,0,14
25,0,14
25,0,14
25,0,13
25,0,14
25,0,17
25,0,15
25,0,15
25,0,17
25,0,13
25,0,14
25,0,14
25,0,15
25,0,16
25,0,13
25,0,15
25,0,15
25,0,14
25,0,16
25,0,17
25,0,15
25,0,17
25,0,15
25,0,17
25,0,17
25,0,13
25,0,15
25,0,16
25,0,13
25,0,12
25,0,15
25,0,14
25,0,19
25,0,16
25,0,19
25,0,20
25,0,20
25,0,19
25,0,19
25,0,21
25,0,17
25,0,20
25,0,20
25,0,20
25,0,20
25,0,17
25,0,17
25,0,17
25,0,13
25,0,12
25,0,26
25,1,21
25,2,22
25,1,24
25,0,21
25,0,23
25,4,13
25,3,17
25,1,20
25,1,15
25,0,23
25,2,16
25,1,19
25,1,16
25,0,11
25,0,11
25,0,11
25,0,11
25,0,11
25,0,12
25,0,11
25,0,10
25,0,12
25,0,11
25,0,12
25,0,9
25,0,9
25,0,11
25,0,10
25,0,10
25,0,10
25,0,9
25,0,10
25,0,13
25,0,11
25,0,11
25,0,13
25,0,9
25,0,10
25,0,10
25,0,11
25,0,12
25,0,9
25,0,11
25,0,11
25,0,10
25,0,12
25,0,13
25,0,11
25,0,13
25,0,11
25,0,12
25,0,13
25,0,9
25,0,11
25,0,12
25,0,9
25,0,8
25,0,11
25,0,10
25,0,14
25,0,10
25,0,14
25,0,15
25,0,14
25,0,13
25,0,13
25,0,15
25,0,12
25,0,14
25,0,14
25,0,14
25,0,14
25,0,11
25,0,12
25,0,12
25,0,9
25,0,8
25,2,26
25,5,25
25,3,29
25,1,27
25,0,30
25,0,28
25,4,24
25,2,27
25,0,24
25,1,28
25,2,25
25,1,26
25,5,16
25,0,16
25,0,16
25,0,16
25,0,16
25,0,16
25,0,17
25,0,16
25,0,15
25,0,17
25,0,16
25,0,17
25,0,14
25,0,14
25,0,16
25,0,15
25,0,15
25,0,15
25,0,14
25,0,15
25,0,18
25,0,16
25,0,16
25,0,18
25,0,14
25,0,15
25,0,15
25,0,16
25,0,17
25,0,14
25,0,16
25,0,16
25,0,15
25,0,17
25,0,18
25,0,16
25,0,18
25,0,16
25,0,18
25,0,18
25,0,14
25,0,16
25,0,17
25,0,14
25,0,13
25,0,16
25,0,15
25,0,20
25,0,17
25,0,20
25,0,21
25,0,21
25,0,20
25,0,20
25,0,22
25,0,18
25,0,21
25,0,21
25,0,21
25,0,21
25,0,18
25,0,18
25,0,18
25,0,14
25,0,13
25,2,26
25,1,29
25,1,24
25,5,18
25,0,25
25,0,28
25,1,25
25,0,22
25,6,17
25,1,22
25,1,23
25,0,22
25,0,15
25,0,15
25,0,15
25,0,15
25,0,15
25,0,15
25,0,15
25,0,14
25,0,15
25,0,15
25,0,16
25,0,11
25,0,11
25,0,13
25,0,14
25,0,13
25,0,13
25,0,12
25,0,14
25,0,15
25,0,13
25,0,14
25,0,15
25,0,12
25,0,13
25,0,14
25,0,13
25,0,15
25,0,12
25,0,14
25,0,13
25,0,13
25,0,15
25,0,15
25,0,13
25,0,15
25,0,13
25,0,15
25,0,15
25,0,12
25,0,13
25,0,14
25,0,12
25,0,11
25,0,14
25,0,12
25,0,17
25,0,15
25,0,17
25,0,18
25,0,18
25,1,16
25,1,16
25,1,18
25,0,15
25,0,18
25,0,18
25,0,18
25,0,18
25,1,14
25,0,16
25,0,15
25,0,11
25,0,10
25,3,29
25,1,27
25,2,27
25,1,26
25,4,24
25,1,29
25,1,22
25,1,28
25,4,21
25,4,20
25,5,16
25,0,16
25,0,16
25,0,17
25,0,16
25,0,17
25,0,18
25,0,16
25,0,15
25,0,17
25,0,16
25,0,18
25,0,14
25,0,14
25,0,16
25,0,15
25,0,15
25,0,15
25,0,14
25,0,15
25,0,18
25,0,16
25,0,16
25,0,19
25,0,14
25,0,16
25,0,15
25,0,17
25,0,17
25,0,14
25,0,16
25,0,17
25,0,16
25,0,17
25,0,18
25,0,16
25,0,19
25,0,16
25,0,19
25,0,19
25,0,14
25,0,17
25,0,18
25,0,14
25,0,13
25,0,16
25,0,15
25,0,20
25,0,17
25,0,20
25,0,21
25,0,21
25,0,20
25,0,20
25,0,23
25,0,18
25,0,21
25,0,22
25,0,21
25,0,21
25,0,18
25,0,18
25,0,18
25,0,14
25,0,13
25,2,26
25,0,31
25,1,27
25,4,25
25,7,18
25,2,21
25,0,32
25,3,24
25,2,25
25,0,27
25,0,17
25,0,17
25,0,17
25,0,17
25,0,17
25,0,17
25,0,17
25,0,16
25,0,17
25,0,17
25,0,18
25,0,14
25,0,14
25,0,16
25,0,16
25,0,16
25,0,16
25,0,15
25,0,16
25,0,18
25,0,16
25,0,17
25,0,18
25,0,15
25,0,16
25,0,16
25,0,16
25,0,18
25,0,15
25,0,17
25,0,16
25,0,16
25,0,17
25,0,18
25,0,16
25,0,18
25,0,16
25,0,18
25,0,18
25,0,15
25,0,16
25,0,17
25,0,15
25,0,14
25,0,17
25,0,15
25,0,21
25,0,18
