is.k3,offspring.age,offspring.sex,anon.edge.id
1,1,F,1
1,2,F,1
1,4,F,1
0,9,F,1
1,10,F,1
0,11,F,1
0,12,F,1
0,13,F,1
1,14,F,1
1,17,F,1
0,19,F,1
0,2,M,2
1,6,M,3
1,11,M,3
0,13,M,3
1,1,M,4
0,3,M,4
1,5,M,4
1,6,M,4
1,7,M,4
1,8,M,4
1,9,M,4
0,1,F,5
0,2,F,5
0,3,F,5
0,4,F,5
0,6,F,5
1,7,F,5
0,8,F,5
0,9,F,5
0,10,F,5
1,11,F,5
1,12,F,5
0,14,F,5
0,17,F,5
1,18,F,5
0,19,F,5
0,20,F,5
0,21,F,5
1,22,F,5
1,23,F,5
1,4,M,6
1,12,M,6
1,13,M,6
1,14,M,6
1,15,M,6
1,1,M,7
0,19,F,8
0,20,F,8
1,1,F,9
1,2,F,9
1,3,F,9
1,14,F,10
1,15,F,10
0,16,F,10
0,17,F,10
0,18,F,10
0,21,F,10
1,1,M,11
1,1,M,12
1,2,M,12
1,4,M,12
1,5,M,12
1,6,M,12
1,7,M,12
1,8,M,12
1,9,M,12
1,10,M,12
1,1,M,13
1,11,M,13
1,16,M,13
1,19,M,13
0,1,M,14
1,2,M,14
1,4,M,14
1,5,M,14
1,7,M,14
1,9,M,14
1,10,M,14
1,13,M,14
1,15,M,14
1,16,M,14
1,17,M,14
1,1,M,15
1,2,M,15
1,3,M,15
1,7,M,15
1,12,M,15
1,13,M,15
1,2,M,16
1,3,M,16
1,4,M,16
0,6,M,16
1,7,M,16
1,8,M,16
1,9,M,16
1,10,M,16
1,13,M,16
1,14,M,16
1,3,M,17
0,9,M,17
0,10,M,17
1,12,M,17
1,15,M,17
0,1,M,18
0,2,M,18
1,6,F,19
0,8,F,19
0,12,F,19
0,13,F,19
0,20,F,20
0,21,F,20
0,22,F,20
0,23,F,20
0,26,F,20
0,27,F,20
0,29,F,20
1,30,F,20
0,33,F,20
0,34,F,20
0,35,F,20
0,36,F,20
0,38,F,20
0,14,F,21
0,18,F,21
1,11,M,22
0,14,M,22
0,17,M,22
0,19,M,22
0,20,M,22
1,6,F,23
1,7,F,23
1,11,F,23
1,12,F,23
1,13,F,23
0,15,F,23
0,16,F,23
0,19,F,23
0,20,F,23
1,21,F,23
0,22,F,23
0,23,F,23
1,14,M,24
1,16,M,24
0,17,M,24
0,15,M,25
1,18,M,25
0,19,M,25
0,20,M,25
0,21,M,25
0,22,M,25
1,23,M,25
1,2,M,26
1,1,F,27
1,2,F,27
0,1,F,28
0,6,F,28
1,8,F,28
1,9,F,28
0,10,F,28
0,11,F,28
1,12,F,28
0,18,F,28
0,19,F,28
0,21,F,28
0,7,F,29
0,9,F,29
0,11,F,29
1,1,F,30
0,5,F,31
0,7,F,31
0,9,F,31
0,10,F,31
0,11,F,31
1,2,M,32
1,3,M,32
1,5,M,32
1,2,M,33
1,4,M,33
0,19,F,34
0,24,F,34
0,25,F,34
0,28,F,34
0,31,F,34
1,32,F,34
1,2,F,35
1,3,F,35
1,4,F,35
0,5,F,35
1,6,F,35
1,7,F,35
1,8,F,35
1,10,F,35
1,12,F,35
0,1,F,36
0,2,F,36
0,19,M,37
0,23,M,37
0,24,M,37
1,1,F,38
1,11,M,39
0,12,M,39
0,13,M,39
0,14,M,39
0,15,M,39
0,16,M,39
0,17,M,39
1,19,M,39
1,23,M,39
1,1,M,40
0,2,M,40
0,4,M,40
0,6,M,40
1,8,M,40
0,9,M,40
0,10,M,40
0,11,M,40
1,13,M,40
1,14,M,40
1,17,M,40
0,18,M,40
1,21,M,40
1,22,M,40
0,5,F,41
1,1,M,42
1,2,M,42
1,3,M,42
1,4,M,42
1,5,M,42
1,2,M,43
0,3,M,43
1,4,M,43
1,5,M,43
0,6,M,43
1,7,M,43
1,8,M,43
0,9,M,43
1,10,M,43
1,12,M,43
1,13,M,43
0,14,M,43
1,15,M,43
1,17,M,43
1,18,M,43
1,20,M,43
1,21,M,43
1,22,M,43
1,1,M,44
1,2,M,44
1,3,M,44
1,4,M,44
1,5,M,44
1,6,M,44
1,7,M,44
0,1,F,45
1,3,F,45
1,4,F,45
1,5,F,45
0,6,F,45
1,11,F,45
1,14,F,45
0,15,F,45
1,16,F,45
1,17,F,45
1,19,F,45
1,2,M,46
1,3,M,46
1,5,M,46
1,6,M,46
1,7,M,46
0,15,F,47
0,16,F,47
0,18,F,47
0,2,M,48
1,3,M,48
1,4,M,48
1,5,M,48
1,8,M,48
1,9,M,48
1,7,M,49
0,9,M,49
1,12,M,49
1,13,M,49
1,14,M,49
1,1,F,50
1,2,F,50
1,3,F,50
1,6,F,50
0,4,M,51
0,5,M,51
1,9,M,51
0,3,M,52
0,5,M,52
0,7,M,52
1,12,M,52
1,15,M,52
1,16,M,52
1,19,M,52
1,20,M,52
1,23,M,52
1,1,M,53
1,7,M,53
1,10,M,53
1,1,F,54
1,2,F,54
1,3,F,54
1,4,F,54
1,5,F,54
1,6,F,54
1,7,F,54
1,8,F,54
1,9,F,54
1,1,M,55
0,5,M,55
1,6,M,55
1,9,M,55
1,11,M,55
1,12,M,55
0,14,M,55
1,15,M,55
1,18,M,56
0,20,M,56
1,22,M,56
0,20,F,57
0,23,F,57
1,14,M,58
0,15,M,58
0,16,M,58
1,20,M,58
1,5,M,59
0,8,M,59
1,4,M,60
0,5,M,60
1,6,M,60
1,8,M,60
1,9,M,60
1,10,M,60
1,11,M,60
1,3,M,61
0,4,M,61
1,4,F,62
1,6,F,62
1,8,F,63
1,9,F,63
0,10,F,63
0,14,F,63
0,17,F,63
0,18,F,63
1,2,F,64
1,4,F,64
1,5,F,64
1,10,F,64
1,3,M,65
1,4,M,65
1,5,M,65
0,4,F,66
0,7,F,66
0,9,F,66
0,10,F,66
0,11,F,66
1,12,F,66
1,1,M,67
1,9,M,67
1,2,M,68
1,3,M,68
1,4,M,68
1,5,M,68
1,1,M,69
1,3,M,69
1,8,M,69
1,9,M,69
0,12,M,69
1,1,F,70
0,2,F,70
1,3,F,70
1,5,F,70
0,6,F,70
1,7,F,70
1,8,F,70
0,9,F,70
0,10,F,70
1,11,F,70
1,1,M,71
0,2,M,71
1,4,M,71
1,6,M,71
1,7,M,71
1,11,M,71
1,13,M,71
1,15,M,71
1,17,M,71
0,19,M,71
1,22,M,71
1,2,M,72
1,3,M,72
1,6,M,72
1,1,M,73
1,2,M,73
1,14,M,74
0,15,M,74
0,16,M,74
1,18,M,74
1,17,M,75
0,18,M,75
0,20,M,75
0,21,M,75
0,22,M,75
1,4,M,76
0,5,M,76
0,6,M,76
0,7,M,76
0,8,M,76
0,11,M,76
0,13,M,76
0,14,M,76
1,16,M,76
1,2,F,77
1,4,F,77
1,6,F,77
0,8,F,77
0,9,F,77
1,11,F,77
1,12,F,77
1,14,F,77
0,1,M,78
0,2,M,78
1,4,M,78
1,5,M,78
0,6,M,78
1,8,M,78
0,13,M,78
1,15,M,78
0,19,M,78
0,21,M,78
0,22,M,78
1,24,M,78
1,3,M,79
