is.k3,delta.first.grandoffspring,offspring.age.first.grandoffspring,anon.edge.id
1,0,10,1
1,-3,15,2
0,-1,15,2
0,4,16,3
0,5,16,3
0,-4,15,4
1,-4,11,5
1,-1,11,5
1,2,11,5
1,-5,11,6
0,-3,11,6
0,-2,11,6
1,0,11,6
1,1,11,6
1,3,11,6
0,2,17,7
1,3,14,8
0,4,14,8
0,5,14,8
1,1,17,9
1,3,17,9
0,4,17,9
1,5,17,9
0,-4,17,10
0,-3,17,10
0,-2,17,10
1,-1,17,10
1,0,17,10
0,3,17,10
1,-5,12,11
1,-4,12,11
1,-3,12,11
1,-2,12,11
1,-1,12,11
1,-5,12,12
1,-4,12,12
0,-3,12,12
0,-2,12,12
1,-1,12,12
0,3,17,13
1,-5,10,14
1,-4,10,14
1,-3,10,14
1,-2,10,14
1,-1,10,14
0,-3,16,15
0,-1,16,15
0,0,16,15
0,1,16,15
0,-4,13,16
0,-3,13,16
0,-2,13,16
0,-5,15,17
0,-3,15,17
0,-3,20,18
1,-2,20,18
0,-1,20,18
0,0,20,18
0,1,20,18
1,2,20,18
1,3,20,18
1,-2,17,19
0,-1,17,19
0,1,17,19
0,2,17,19
0,3,17,19
1,2,12,20
1,3,12,20
0,4,12,20
0,5,12,20
1,3,17,21
1,4,17,21
0,-5,14,22
0,-4,14,22
0,-2,14,22
1,0,14,22
0,1,14,22
0,4,14,22
1,5,14,22
1,-4,12,23
1,-3,12,23
1,-2,12,23
1,-1,12,23
0,0,12,23
0,2,12,23
0,3,12,23
0,5,12,23
0,-2,15,24
0,0,15,24
0,1,15,24
0,3,16,25
1,-1,16,26
0,0,14,27
0,3,14,27
0,5,14,27
1,-5,16,28
1,-4,16,28
0,-3,16,28
1,-2,16,28
1,0,16,28
0,1,14,29
0,2,14,29
0,4,14,29
1,-5,16,30
1,-3,16,30
1,-2,16,30
0,1,16,30
0,3,16,30
1,0,12,31
0,1,20,32
0,2,20,32
0,3,20,32
0,0,20,33
0,4,20,33
0,5,20,33
1,-5,17,34
0,1,17,34
0,2,17,34
0,4,17,34
1,-5,12,35
1,1,12,35
0,4,12,35
0,-2,19,36
1,-5,20,37
1,-4,20,37
0,-2,20,37
0,0,20,37
1,-4,15,38
1,-3,15,38
1,-2,15,38
0,0,15,38
0,1,15,38
0,4,15,38
0,5,15,38
0,-4,17,39
1,-3,17,39
0,-2,17,39
1,-1,17,39
0,3,17,39
1,0,17,40
0,1,17,40
0,3,17,40
0,4,17,40
1,5,17,40
1,-4,16,41
0,-1,16,41
1,0,16,41
1,2,16,41
0,4,16,41
1,5,16,41
0,-5,15,42
0,-1,15,42
0,2,15,42
0,3,15,42
1,-3,20,43
0,-1,20,43
0,-3,14,44
1,2,14,44
0,3,14,44
0,-5,16,45
0,-4,16,45
0,-2,16,45
1,-5,19,46
0,-4,19,46
1,-3,19,46
0,-1,19,46
0,0,19,46
0,1,19,46
1,-5,20,47
1,-4,20,47
0,4,20,47
1,5,20,47
0,-5,13,48
0,-1,13,48
0,0,13,48
1,-3,17,49
0,0,17,49
0,5,17,50
1,2,17,51
0,4,17,51
0,5,17,51
0,-5,17,52
0,0,17,52
0,1,17,52
0,2,17,52
0,4,17,52
0,5,17,52
0,-5,17,53
0,-4,17,53
0,-3,17,53
0,-2,17,53
1,-1,17,53
0,0,17,53
1,2,17,53
