is.k3,delta.next.sibling,offspring.age.next.sibling,anon.edge.id
1,-5,6,1
1,-4,6,1
1,-1,6,1
1,-5,6,2
1,-4,6,2
1,-3,6,2
1,-2,6,2
1,-1,6,2
1,-2,6,3
1,-1,6,3
0,-5,7,4
1,-4,7,4
1,-3,7,4
0,-2,7,4
0,-5,9,5
1,-3,9,5
1,-2,9,5
1,-2,4,6
1,3,4,6
1,-1,3,7
1,1,3,7
1,2,3,7
0,-1,7,8
1,1,7,8
1,2,7,8
0,3,7,8
0,4,7,8
1,5,7,8
1,-4,11,9
1,2,11,9
0,5,11,9
1,-4,5,10
1,4,5,10
1,-2,4,11
1,1,3,12
1,3,3,12
0,-1,15,13
0,2,15,13
0,4,15,13
0,1,15,14
0,3,15,14
1,-3,4,15
0,-2,4,15
0,2,4,15
1,4,4,15
0,5,4,15
1,-3,5,16
1,-1,5,16
1,1,5,16
0,2,5,16
1,5,5,16
1,3,5,17
1,4,5,17
0,5,5,17
0,4,11,18
1,5,11,18
1,-2,4,19
1,-1,5,20
0,-4,5,21
1,-3,5,21
0,-2,5,21
0,-1,5,21
1,1,5,21
0,2,5,21
1,4,5,21
0,5,5,21
0,1,8,22
1,5,8,22
1,3,11,23
1,-2,4,24
0,-1,4,24
1,3,4,24
0,4,4,24
1,5,9,25
0,-2,5,26
0,-1,5,26
0,1,5,26
1,-5,8,27
0,-3,8,27
1,-3,4,28
1,-1,4,28
0,1,4,28
1,2,4,28
1,3,4,28
1,4,4,28
1,5,4,28
1,5,6,29
0,-2,3,30
0,-1,3,30
0,1,3,30
1,2,3,30
1,4,3,30
0,5,3,30
0,-4,8,31
1,-3,8,31
1,-1,8,31
1,1,8,31
0,-4,11,32
0,-2,11,32
0,4,7,33
0,-1,4,34
0,1,4,34
1,4,4,34
0,5,4,34
1,-2,5,35
1,1,5,35
1,3,5,35
0,-1,6,36
1,-3,5,37
1,-2,5,37
1,-1,5,37
1,1,5,37
1,2,5,37
1,3,5,37
1,5,5,37
0,3,5,38
1,5,6,39
0,1,5,40
0,2,5,40
0,4,5,40
1,5,5,41
1,-4,7,42
1,-3,7,42
1,-2,7,42
1,-1,7,42
1,1,7,42
0,2,7,42
0,3,7,42
0,5,7,42
1,5,9,43
1,-5,11,44
1,-3,11,44
1,-2,11,44
1,-1,11,44
0,1,11,44
0,3,11,44
0,4,11,44
1,-3,5,45
1,-2,5,45
1,-1,5,45
0,1,5,45
1,2,5,45
1,3,5,45
1,4,5,45
1,5,5,45
0,-4,5,46
1,-3,5,46
1,-1,5,46
