is.k3,mother.alive,offspring.sex,offspring.age,partner.relation,anon.offspring.id
0,alive,F,1,in.pod-non.relative,1
0,alive,F,1,in.pod-non.relative,1
0,alive,F,1,in.pod-non.relative,1
0,alive,F,1,in.pod-non.relative,1
1,alive,F,1,sibling.other.sex,1
0,alive,F,1,in.pod-non.relative,1
0,alive,F,1,in.pod-non.relative,1
0,alive,F,1,out.pod-non.relative,1
0,alive,F,1,out.pod-non.relative,1
0,alive,F,1,out.pod-non.relative,1
0,alive,F,1,out.pod-non.relative,1
0,alive,F,1,out.pod-non.relative,1
0,alive,F,1,out.pod-non.relative,1
0,alive,F,1,out.pod-non.relative,1
0,alive,F,1,out.pod-non.relative,1
0,alive,F,2,sibling.other.sex,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,in.pod-non.relative,1
0,alive,F,2,in.pod-non.relative,1
0,alive,F,2,sibling.same.sex,1
0,alive,F,2,in.pod-non.relative,1
0,alive,F,2,in.pod-non.relative,1
0,alive,F,2,in.pod-non.relative,1
0,alive,F,2,in.pod-non.relative,1
0,alive,F,2,in.pod-non.relative,1
0,alive,F,2,in.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,2,out.pod-non.relative,1
0,alive,F,3,in.pod-non.relative,1
1,alive,F,3,sibling.same.sex,1
0,alive,F,3,in.pod-non.relative,1
0,alive,F,3,in.pod-non.relative,1
0,alive,F,3,in.pod-non.relative,1
1,alive,F,3,sibling.other.sex,1
0,alive,F,3,in.pod-non.relative,1
0,alive,F,3,in.pod-non.relative,1
0,alive,F,3,in.pod-non.relative,1
0,alive,F,3,in.pod-non.relative,1
